concept_id,concept_label,coding_system,code,display_code,match_type,code_description,default_claim_rule,source,source_url,notes
cardiovascular_or_ascvd,Cardiovascular disease / ASCVD proxy,ICD10CM,I20,I20,prefix,Angina pectoris,Broad CVD history; refine for specific endpoints.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
cardiovascular_or_ascvd,Cardiovascular disease / ASCVD proxy,ICD10CM,I21,I21,prefix,Acute myocardial infarction,Broad CVD history; refine for specific endpoints.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
cardiovascular_or_ascvd,Cardiovascular disease / ASCVD proxy,ICD10CM,I22,I22,prefix,Subsequent myocardial infarction,Broad CVD history; refine for specific endpoints.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
cardiovascular_or_ascvd,Cardiovascular disease / ASCVD proxy,ICD10CM,I23,I23,prefix,Complications following acute myocardial infarction,Broad CVD history; refine for specific endpoints.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
cardiovascular_or_ascvd,Cardiovascular disease / ASCVD proxy,ICD10CM,I24,I24,prefix,Other acute ischemic heart diseases,Broad CVD history; refine for specific endpoints.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
cardiovascular_or_ascvd,Cardiovascular disease / ASCVD proxy,ICD10CM,I25,I25,prefix,Chronic ischemic heart disease,Broad CVD history; refine for specific endpoints.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
cardiovascular_or_ascvd,Cardiovascular disease / ASCVD proxy,ICD10CM,I60,I60,prefix,Nontraumatic subarachnoid hemorrhage,Broad CVD history; refine for specific endpoints.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
cardiovascular_or_ascvd,Cardiovascular disease / ASCVD proxy,ICD10CM,I61,I61,prefix,Nontraumatic intracerebral hemorrhage,Broad CVD history; refine for specific endpoints.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
cardiovascular_or_ascvd,Cardiovascular disease / ASCVD proxy,ICD10CM,I62,I62,prefix,Other nontraumatic intracranial hemorrhage,Broad CVD history; refine for specific endpoints.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
cardiovascular_or_ascvd,Cardiovascular disease / ASCVD proxy,ICD10CM,I63,I63,prefix,Cerebral infarction,Broad CVD history; refine for specific endpoints.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
cardiovascular_or_ascvd,Cardiovascular disease / ASCVD proxy,ICD10CM,I64,I64,prefix,"Stroke, not specified as hemorrhage or infarction",Broad CVD history; refine for specific endpoints.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
cardiovascular_or_ascvd,Cardiovascular disease / ASCVD proxy,ICD10CM,I65,I65,prefix,Occlusion and stenosis of precerebral arteries,Broad CVD history; refine for specific endpoints.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
cardiovascular_or_ascvd,Cardiovascular disease / ASCVD proxy,ICD10CM,I66,I66,prefix,Occlusion and stenosis of cerebral arteries,Broad CVD history; refine for specific endpoints.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
cardiovascular_or_ascvd,Cardiovascular disease / ASCVD proxy,ICD10CM,I67,I67,prefix,Other cerebrovascular diseases,Broad CVD history; refine for specific endpoints.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
cardiovascular_or_ascvd,Cardiovascular disease / ASCVD proxy,ICD10CM,I68,I68,prefix,Cerebrovascular disorders in diseases classified elsewhere,Broad CVD history; refine for specific endpoints.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
cardiovascular_or_ascvd,Cardiovascular disease / ASCVD proxy,ICD10CM,I69,I69,prefix,Sequelae of cerebrovascular disease,Broad CVD history; refine for specific endpoints.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
cardiovascular_or_ascvd,Cardiovascular disease / ASCVD proxy,ICD10CM,I70,I70,prefix,Atherosclerosis,Broad CVD history; refine for specific endpoints.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
cardiovascular_or_ascvd,Cardiovascular disease / ASCVD proxy,ICD10CM,I73,I73,prefix,Other peripheral vascular diseases,Broad CVD history; refine for specific endpoints.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
cardiovascular_or_ascvd,Cardiovascular disease / ASCVD proxy,ICD10CM,I74,I74,prefix,Arterial embolism and thrombosis,Broad CVD history; refine for specific endpoints.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
